FCode,FName,F_category,servings,Kcal,Kcal_per_100
D000370,조기조림,어패류조림,300.0,384.0,128.0
D000372,게살죽,죽류,800.0,564.83,70.604
D000373,깨죽,죽류,800.0,515.348,64.419
D000376,소고기버섯죽,죽류,800.0,578.278,72.285
D000378,잣죽,죽류,700.0,874.482,124.926
D000380,참치죽,죽류,800.0,659.599,82.45
D000384,고등어찌개,어패류찌개.전골,600.0,601.62,100.27
D000385,김치찌개,채소류찌개.전골,400.0,243.032,60.758
D000386,꽁치찌개,어패류찌개.전골,300.0,355.0,118.333
D000389,두부전골,채소류찌개.전골,500.0,315.16,63.032
D000390,버섯찌개,채소류찌개.전골,400.0,167.56,41.89
D000393,새우젓두부찌개,채소류찌개.전골,300.0,166.0,55.333
D000394,소곱창전골,육류찌개.전골,600.0,529.0,88.167
D000399,햄김치찌개,육류찌개.전골,300.0,189.0,63.0
D000400,호박찌개,채소류찌개.전골,300.0,95.0,31.667
D000404,대구찜,어패류찜,500.0,376.42,75.284
